example_id,sentence,is_subtree,dataset,prediction
2399,I have now been there 5 times.,0,bakeoff,neutral
2400,I oohed and aahed through every bite of my mustard-crusted halibut set in a cassoulet.,0,bakeoff,neutral
2401,I chose the red wine butter sauce but I didnt really needed it.,0,bakeoff,neutral
2402,And to top it all off they wrote 'Happy Anniversary' in chocolate on the plate our dessert came out in.,0,bakeoff,positive
2403,The Steak?,0,bakeoff,neutral
2404,"I got caught in traffic and am pregnant, so I did the best I could.",0,bakeoff,neutral
2405,I love there warm bread and herb butter and almost every item on the menu.,0,bakeoff,positive
2406,A very busy Saturday night with high school proms and they had everything under control.,0,bakeoff,positive
2407,"As an American living in England, I can say Mexican food in this country is generally horrible.",0,bakeoff,neutral
2408,Noise was a problem in that there was a rock band blasting outside.,0,bakeoff,neutral
2409,"The food is good, or at least, it's a good effort.",0,bakeoff,positive
2410,I wanted to suprise her and bring her someplace nice.,0,bakeoff,neutral
2411,Too much alcohol drizzled on it.,0,bakeoff,negative
2412,"Dined at 8 pm, next time would try earlier for the sunset.",0,bakeoff,neutral
2413,Great restaurant and service.,0,bakeoff,positive
2414,"I think it's one of the best, if not THE best in Newport.",0,bakeoff,positive
2415,"We don't ordinarily openly 'moan' when we eat, but all of our dishes were 'moan' worthy!",0,bakeoff,positive
2416,"The food itself was a treat, each course tantalizing with its East Asian-influenced flavors and nice presentation.",0,bakeoff,positive
2417,It is a little on the expensive side for the food.,0,bakeoff,negative
2418,Our experience was wounderfull.,0,bakeoff,positive
2419,Eight college girlfriends met at the Palm Court for tea at 4:30pm.,0,bakeoff,neutral
2420,"I don't know if they allow smoking out on the deck, or if it was carried over from the dock.",0,bakeoff,negative
2421,Martinis were warm and watery.,0,bakeoff,neutral
2422,Short walk to dpac.,0,bakeoff,neutral
2423,"We made a reservation, then changed our mind when we saw the prices of the entrees.",0,bakeoff,neutral
2424,I even believe their prices are below market value for the quality and size of the food and experience!!!,0,bakeoff,negative
2425,The bread and butter were really good.,0,bakeoff,positive
2426,Usually we're easy to please!,0,bakeoff,positive
2427,Loved the free Valet!,0,bakeoff,positive
2428,The food was excellent.,0,bakeoff,positive
2429,The somelier bought our wine when we nearly finished with our entree.,0,bakeoff,neutral
2430,"If a dish is supposed to be served cold, it is put on the table cold.",0,bakeoff,neutral
2431,We are met and seated and given menus.,0,bakeoff,positive
2432,"For quiet/romantic dining, choose a table on the second floor.",0,bakeoff,neutral
2433,The hostess that sat us (before Julie) would not allow me to swap a veg.,0,bakeoff,neutral
2434,The only way the night could have been better was if we had stayed there.,0,bakeoff,negative
2435,Just pay attention when ordering your water - you should probably ask for tap water if you aren't particular as Fiji water was expensive.,0,bakeoff,negative
2436,We gave a low score in ambience due to the overly large television being visible throughout the restaurant and the dominance of the bar in the room...maybe a little screening or something?,0,bakeoff,negative
2437,But that was my only complaint.,0,bakeoff,negative
2438,"I had two young adults with me, celebrating a graduation from dental school.",0,bakeoff,neutral
2439,Creme brule was velvety.,0,bakeoff,neutral
2440,Has raised the bar which I always thought was high to begin with!,0,bakeoff,positive
2441,"Also, it can get a bit noisy as it fills up.",0,bakeoff,negative
2442,I had the chicken clubhouse which didn't seem to be a lot but I could barely finish it.,0,bakeoff,neutral
2443,I couldn't finish it all.,0,bakeoff,negative
2444,Our experience this time was the same for service and atmosphere; everything was fine.,0,bakeoff,positive
2445,Menu is divided roughly evenly between a core of signature entrees that almost never change and others that rotate to some degree.,0,bakeoff,neutral
2446,We went to Carlton's for our Easter celebration.,0,bakeoff,neutral
2447,I had been looking forward to going to Anton and Michel all weekend.,0,bakeoff,neutral
2448,"Back in the day, patrons would leave their fragile clay pipes at their favorite inn.",0,bakeoff,neutral
2449,We were seated on time for our 7:45pm Saturday reservation.,0,bakeoff,neutral
2450,I was really looking forward to it.,0,bakeoff,neutral
2451,I just had to get past what part of the anatomy they came from.,0,bakeoff,neutral
2452,Only objection is the noise level.,0,bakeoff,negative
2453,I figured our bill would of been about $150 cuase I never resally look at price and it was only $81!!!!!,0,bakeoff,neutral
2454,We were one of the few parties in the steakhouse which made it seem mor private.,0,bakeoff,neutral
2455,"I had a hard time choosing between two of the entree items, crab cakes and the NY Strip.",0,bakeoff,neutral
2456,Tables seated around us were who sat after us were through with their dinners before we got our soups.,0,bakeoff,neutral
2457,Several restaurants have come and gone.,0,bakeoff,neutral
2458,Everything about the dining experience was excellent!,0,bakeoff,positive
2459,The service was outstanding.,0,bakeoff,positive
2460,"Although this wasn't my first visit to Daily Grill, a couple of my guests were ""newbies"".",0,bakeoff,neutral
2461,A little too noisy for easy conversation.,0,bakeoff,negative
2462,Do book ahead as it does book out.,0,bakeoff,positive
2463,About 3:00 that afternoon I was so wishing I had bought a dessert and brought it back to the office.,0,bakeoff,positive
2464,"My wife also had the seabass and we both have had better at bonefish grille, just something we'd expect you to pull off a tad better.",0,bakeoff,positive
2465,It was also $10 more expensive than the Hess chardonney that we thought we had ordered.,0,bakeoff,neutral
2466,We had to ask for him to come over and serve us.,0,bakeoff,neutral
2467,"I took a client, who is Indian, to this restaurant and entered into the establishment with trepidation because I never had Indian food before.",0,bakeoff,neutral
2468,OK that is fine .,0,bakeoff,positive
2469,"Fpr the main, I'd ordered the pepper crusted steak, but found it to be a bit too spicy.",0,bakeoff,negative
2470,"Sometimes when a place gets great reviews or lots of hype, you are let down by the quality.",0,bakeoff,negative
2471,I ordered the steamed crab.,0,bakeoff,neutral
2472,The couple sitting at the table next to us arrived after we did and received their meal before us.,0,bakeoff,positive
2473,Une expérience à vivre!,0,bakeoff,neutral
2474,I ordered the 8 oz.,0,bakeoff,neutral
2475,It is difficult to take a group of eight people to dinner on Friday night.,0,bakeoff,negative
2476,The place was 1/3 full at 8 pm on a Friday night.,0,bakeoff,negative
2477,The table service was very good and the view was beautiful.,0,bakeoff,positive
2478,He gave us perfect advice with a good sense of humor.,0,bakeoff,positive
2479,"Waiter even let me order the ""lunch portion"" as the normal size would have been too big for me.",0,bakeoff,negative
2480,I understand that there is a mark up in wine at restaurant's but for those who know pricing 3 and 4 times regular price is not cool.,0,bakeoff,negative
2481,This is the second time we've been to PR.,0,bakeoff,neutral
2482,I have eaten at Fig & Olive uptown many times so I know that the food is always good.,0,bakeoff,positive
2483,It was a night that every restaurant in town was booked and almost by accident/luck we got 6:45 reservations.,0,bakeoff,neutral
2484,It's hard to believe the menu changes as often as it does.,0,bakeoff,negative
2485,I thought we had chosen well.,0,bakeoff,neutral
2486,The lobster macaroni and cheese did not have enough lobster and was not cheesy tasting.,0,bakeoff,negative
2487,"We asked for a quiet, romantic table and when we arrived they had put rose petals over a table in a secluded corner.",0,bakeoff,neutral
2488,"Although the restaurant was very busy, we were offered our favorite booth by the window since I had indicated this preference in my OpenTable reservation.",0,bakeoff,neutral
2489,We both selected items from the Dine Out menu.,0,bakeoff,neutral
2490,We had a steak that was designed to serve 3 people.,0,bakeoff,neutral
2491,"We had an 8:30 pm reservation, but were not seated until 9 pm.",0,bakeoff,neutral
2492,Watched and heard many walk in's of 3-4 get seated before us and brought it up to the hostess.,0,bakeoff,positive
2493,The food was better.,0,bakeoff,positive
2494,"Don't be fooled by the small plates, it's filling after a while.",0,bakeoff,neutral
2495,I read many reviews of all the haunts in the Northend and I was surprised at the negativity most of these contained.,0,bakeoff,neutral
2496,We requested (in the notes) a table downstairs (because the birthday girl (86) is on a walker and can't walk stairs.,0,bakeoff,neutral
2497,It was very busy but we were made to feel as if we were the only people in the place.,0,bakeoff,positive
2498,We will come back!,0,bakeoff,positive
2499,THIS WAS CORRECTED FAIRLY QUICKLY (5 MIN.),0,bakeoff,neutral
2500,Don't know whether this is permanent increase or one-time for the day.,0,bakeoff,neutral
2501,We were fans of Carluccio's cook books.,0,bakeoff,neutral
2502,Granted it was almost empty due to our early reservations (pre theatre).,0,bakeoff,negative
2503,My only drawback is that it gets very loud in the restaurant on weekends and conversation is difficult.,0,bakeoff,negative
2504,"Sad to say though, we will have to judge all other lobster by this benchmark :).",0,bakeoff,neutral
2505,It's like the entire staff knew!,0,bakeoff,neutral
2506,Started with drinks on the sofa and moved to a light dinner at a table near the bar.,0,bakeoff,neutral
2507,We arrived on time with online reservation.,0,bakeoff,neutral
2508,Chef driven establishment and it shows.,0,bakeoff,positive
2509,Les conversations au cellulaire sont interdites.,0,bakeoff,neutral
2510,"Wine list OK, but the first bottle offered was not of the listed vintage.",0,bakeoff,negative
2511,That helps and is appreciated.,0,bakeoff,positive
2512,"As a native Austinite, I had never ventured out to Perry's for fine dining.",0,bakeoff,neutral
2513,I could not believe it!,0,bakeoff,neutral
2514,The only curious item was that there was not as many fish main courses selections as I had expected for a seafood restaurant.,0,bakeoff,negative
2515,We were seated immediately with our reservation.,0,bakeoff,neutral
2516,"This is the kind of restaurant we need more of in the Twin Cities, as there is so much of the usual boring fare here.",0,bakeoff,negative
2517,"Although I am accustomed to a healthy spice, my dinner partner found it too spicy.",0,bakeoff,negative
2518,"We were told not to ask for window seat, we didn't, and got one.",0,bakeoff,neutral
2519,My husband and I had been looking forward to trying Q and had heard really good things about it from friends.,0,bakeoff,positive
2520,Service was better.,0,bakeoff,positive
2521,Do you know that JIll and her huband have the Vineyard wine shop in Cherry Creek?.,0,bakeoff,neutral
2522,"Unless your child will try different things, it might not be the best place for kids.",0,bakeoff,negative
2523,This restaurant had very tasty food.,0,bakeoff,positive
2524,They don't give you any options.,0,bakeoff,negative
2525,They were quite annoying at times and the staff did nothing to inform parents that kids were not to run around the restaurant.,0,bakeoff,negative
2526,The experience was a disappointment.,0,bakeoff,negative
2527,"Tonight we were with guests who had special dining needs due to allergies, etc.",0,bakeoff,neutral
2528,It is a Little Italy tourist trap.,0,bakeoff,neutral
2529,I could not have been more wrong.,0,bakeoff,neutral
2530,I've often felt slightly rushed at dinner because of how crowded it is near the door and at the bar.,0,bakeoff,positive
2531,"Value spent is equal to the value served, and I rarely, if ever, say that about any dining experience.",0,bakeoff,neutral
2532,We have been to Palace Cafe many times and have enjoyed ourselves and our meals every time.,0,bakeoff,positive
2533,I was there wednesday the half price wine night maybe the second string in there at that time?,0,bakeoff,neutral
2534,We had no idea what to expect.,0,bakeoff,neutral
2535,"I made reservations for Feb 12th, about 3 months ago.",0,bakeoff,neutral
2536,"As out of towners, we relied on the recommendation from friends who live in DC.",0,bakeoff,neutral
2537,I would recommend without hesitation to any party looking for a very special evening.,0,bakeoff,positive
2538,The only thing better than the food was the staff.,0,bakeoff,positive
2539,We had reserved for 8:15 and reached Tropiseuna on time.,0,bakeoff,neutral
2540,I am from NC and know what barbecue is.,0,bakeoff,neutral
2541,The entire experience was fabulous.,0,bakeoff,positive
2542,My sister and I visited Maggiano's on a Friday evening.,0,bakeoff,neutral
2543,Accessibility is expected at all public places in this nation.,0,bakeoff,neutral
2544,We were a little hesitant fearing that there would be too many families at the restaurant since it is located at the Universal City Walk.,0,bakeoff,neutral
2545,"If we had to do it over again, only one of us would have ordered that, and the other a single entree.",0,bakeoff,neutral
2546,We noted that there was a mixed clientele - families with young children and also large groups.,0,bakeoff,neutral
2547,Harsh but true.,0,bakeoff,neutral
2548,Make sure to have a reservation and make it on the early side so that you can get the full capacity of the service.,0,bakeoff,neutral
2549,Beautiful space.,0,bakeoff,positive
2550,If you can actually put down a dessert after all that.... you are better than me!,0,bakeoff,positive
2551,The only negative for us that particular day was the noise level which made it at times difficult to hear our conversations.,0,bakeoff,negative
2552,Two people I work for told us we had to eat at Mama's Fish House for our special dinner.,0,bakeoff,neutral
2553,"My fish special, scallops, was a very small portion.",0,bakeoff,negative
2554,"Gluten-free menu, an issue for my guest, excellent.",0,bakeoff,positive
2555,I've had better at Frontera.,0,bakeoff,neutral
2556,There is just no reason for that.,0,bakeoff,negative
2557,"Before making the reservation, we went online and checked the sunset time.",0,bakeoff,neutral
2558,Just make sure that your belly is empty before you go!,0,bakeoff,neutral
2559,I was very excited to try this new find as it has stunning views and the building is fascinating.,0,bakeoff,positive
2560,The service was second to none.,0,bakeoff,positive
2561,The Trout and House salad were the best things we had.,0,bakeoff,positive
2562,The only disappointment was the shrimp jambalya.,0,bakeoff,neutral
2563,These folks treat you as if you are the only patron there.,0,bakeoff,positive
2564,We visited Ambience because of high rating on opentable.,0,bakeoff,neutral
2565,"As you face the bay window, you hardly notice other diners at all.",0,bakeoff,neutral
2566,"He could have checked to see if there was anything still in it, he didn't.",0,bakeoff,negative
2567,Even vegetable choices are prepared to have close to 500 calories.,0,bakeoff,neutral
2568,There was a meat item (lamb) as one of the courses.,0,bakeoff,neutral
2569,"It is not inexpensive for dinner, drinks and dessert -- so just be aware of that.",0,bakeoff,neutral
2570,When we arrived to Sosa Borella we liked the casual atmosphere.,0,bakeoff,neutral
2571,This is the hotel restaurant.,0,bakeoff,neutral
2572,What a wonderful guy!!,0,bakeoff,positive
2573,Heard it was fun place with good food.,0,bakeoff,positive
2574,He got the herb lemon lime sauce which tasted like oil.,0,bakeoff,neutral
2575,Are you kidding?,0,bakeoff,neutral
2576,The only negative note was that their order system crashed so our entrees were delayed about 10-15 minutes.,0,bakeoff,negative
2577,Try sitting at the bar.,0,bakeoff,neutral
2578,So was the service.,0,bakeoff,negative
2579,"IF I GO AGAIN I WILL NOT WANT TO SIT IN THAT AREA, I'D RATHER SIT IN A BOTH AT THE BAR, IN FACT I HAD ASKED FOR A BOOTH AND GOT A TABLE.",0,bakeoff,neutral
2580,For a fresh desert experience go to Tim Horton's down the road.,0,bakeoff,positive
2581,Medium-ordered filet mignon was served medium-well.,0,bakeoff,neutral
2582,The sauteed spinach was up to par.,0,bakeoff,positive
2583,"Definitely not your run of the mill, franchise kind of Mexican food.",0,bakeoff,neutral
2584,We used a Groupon and were aware that we were supposed to tip based on the pre-Groupon total.,0,bakeoff,negative
2585,"However, we did not try it tonight.",0,bakeoff,neutral
2586,"The waiter came by once and said sorry for the delay, serving a very large party put things behind.",0,bakeoff,negative
2587,It wasn't very good - and it cost $2.50 a cup :(,0,bakeoff,negative
2588,Come on people...do your research before you show up and have sticker shock!,0,bakeoff,neutral
2589,Everyting was the same as other locations.,0,bakeoff,positive
2590,"They have ambiance, tasty meals, and is an overall enjoyable experience.",0,bakeoff,positive
2591,Wanted to go elsewhere but couldn't get in.,0,bakeoff,neutral
2592,I had a 9pm reservation on Valentines day.,0,bakeoff,neutral
2593,"We would have eaten outside, but a bit windy.",0,bakeoff,neutral
2594,"The wine selection was so, so.",0,bakeoff,positive
2595,"We were treating friends and I was worried that the new ownership might not be as good, but I do believe it was even better.",0,bakeoff,positive
2596,"First, I would like to point out that I reserved a table for Valentine's Day, well in advance.",0,bakeoff,neutral
2597,"Great food, great atmosphere, all at a good fair price.",0,bakeoff,positive
2598,It is too bad that there was only one other party dining in the medium-sized restaurant.,0,bakeoff,negative
2599,When we sat down to order I reminded the waiter and chef has everything ready.,0,bakeoff,positive
2600,"Verry good experience on Val Day,",0,bakeoff,positive
2601,General concensus was that we should of just stayed at Tony's instead of going to the show.,0,bakeoff,negative
2602,Do not put off a visit to this neighborhood gem.,0,bakeoff,positive
2603,Low point very noisy; why have a DJ if it's impossible to tell one tune from another?,0,bakeoff,negative
2604,The group all had prime rib.,0,bakeoff,neutral
2605,"I passed ont hat because I do not like apricots, but did tase it.",0,bakeoff,positive
2606,The only complaint is that the tables are too small and they are too close together.,0,bakeoff,negative
2607,This was our second time at Robert.,0,bakeoff,neutral
2608,"So we were very disappointed in that, especially when one of the desserts we had we werent so fond of (the alcohol was too strong in the strawberry dessert.)",0,bakeoff,negative
2609,Food came out in stages.,0,bakeoff,positive
2610,It didn't need anything else.,0,bakeoff,neutral
2611,"Due to parking issues, you must valet park.",0,bakeoff,neutral
2612,We have dined at Del Frisco's on many occasions.,0,bakeoff,neutral
2613,"Pismo Grill is a fun, friendly restaurant; the staff is wonderful!",0,bakeoff,positive
2614,There was another guy (Bram sp?),0,bakeoff,neutral
2615,We were at Table: 122/1.,0,bakeoff,neutral
2616,Menlo Park closes fairly early anyway...,0,bakeoff,negative
2617,The portion sizes were small.,0,bakeoff,negative
2618,"Dos Caminos, Pink Taco, Agave, Diablos....",0,bakeoff,neutral
2619,Have not been in years.,0,bakeoff,neutral
2620,Two people could probably each order a salad and then share an entree.,0,bakeoff,neutral
2621,Apparently there are more rooms (downstairs bar with sports on tv) then we saw.,0,bakeoff,neutral
2622,At A Voce about a year ago and it was the most amazing dinner I had ever had.,0,bakeoff,positive
2623,I would hardly call it energetic.,0,bakeoff,neutral
2624,"I had read earlier reviews (on Opentable and Zagat) that suggested that I requested a table far from the lobby and the bar if I wanted to be able to converse normally, and we were seated at a table with ocean views.",0,bakeoff,neutral
2625,That is the only minus.,0,bakeoff,neutral
2626,G'ville water is terrible from the tap and will quite literally spoil your enjoyment.,0,bakeoff,negative
2627,And it was exceptional.,0,bakeoff,positive
2628,"Had a reservation for three, however we ended up with a party of seven.",0,bakeoff,neutral
2629,What a delightful experience!,0,bakeoff,positive
2630,A great birthday dinner was enjoyed by all.,0,bakeoff,positive
2631,I took my wife here for a Valentine's weekend dinner.,0,bakeoff,neutral
2632,"My goodness, the whole night we were trying to figure out what type of wonderful was in that sauce.",0,bakeoff,neutral
2633,Only mishap seemed to be the service.,0,bakeoff,neutral
2634,"In fact, the cafeteria in our building is as good or better...",0,bakeoff,neutral
2635,I'm not a foodie at all.,0,bakeoff,positive
2636,I contacted both the Stonehouse and Opentable.com and everything was rectified immediately.,0,bakeoff,positive
2637,We chose early (6PM) and the place was nearly empty when we arrived.,0,bakeoff,negative
2638,"Once we were seated, our server was very friendly.",0,bakeoff,positive
2639,We spoke with one of the Managers and suggested that they return it to the menu.,0,bakeoff,neutral
2640,"Dress is noted as business casual, but many people were dressed quite casually.",0,bakeoff,neutral
2641,Went there for Mother's Day.,0,bakeoff,neutral
2642,The ice creams were great.,0,bakeoff,positive
2643,Was hard to even hear the waiter at times.,0,bakeoff,negative
2644,If you are going to do something do it right or don't do it..I am referring to Easter brunch.,0,bakeoff,neutral
2645,"Throughout the night, we had different servers stopping by to fill drinks and see if things were going alright.",0,bakeoff,neutral
2646,Came on a Tuesday.,0,bakeoff,neutral
2647,"If you want quiet, upstairs might be better but on a Friday night, the crowd at the bar waiting for a table never overwhelmed our conversation.",0,bakeoff,negative
2648,"I suppose the wait wouldn't have been that bad if we had been able to get a reservation before 8:30, but that extra 20 minutes is pretty rough when you don't even sit down until 8:50 and you're used to eating at 7.",0,bakeoff,negative
2649,A request to have a fish from a more sustainable fishery substituted on the tasting menu was also accommodated.,0,bakeoff,negative
2650,"Assuming you have reservations (strongly encouraged), I would recommend that you allow 2 to 2.5 hours from the time you arrive at Mama’s until the time you need to leave Mama's and head to the airport.",0,bakeoff,negative
2651,Had an early seating but no push to get us out.,0,bakeoff,negative
2652,I've been to many restaurants and most of them are overly pretentious without the dishes to back it up.,0,bakeoff,positive
2653,Wine list pricey.,0,bakeoff,neutral
2654,We were given the menu immediately and before our cocktails were served we were asked to place our dinner order.,0,bakeoff,positive
2655,"This is the case of ""you get what you pay for"".",0,bakeoff,neutral
2656,We dined on Sunday evenng and was told after we were seated that on Sundays the chef likes to do lite bites (an tapes like serving).,0,bakeoff,neutral
2657,Valet parking on a deserted industrial street.,0,bakeoff,neutral
2658,Service was a bit slow.,0,bakeoff,negative
2659,I believe he was working with a private party and was less attentive than usual.,0,bakeoff,negative
2660,The lemon sponge cake was very overwhelmingly lemon.,0,bakeoff,positive
2661,My entree was the 48 hour Short Rib.,0,bakeoff,neutral
2662,We were looking for an Italian restaurant close by.,0,bakeoff,neutral
2663,We went to Bacar on Valentine's Day knowing they had a prix fix menu.,0,bakeoff,neutral
2664,The noise level was a bit high.,0,bakeoff,negative
2665,We've dined at the Corner Kitchen repeatedly.,0,bakeoff,neutral
2666,The decor is a little bit too masculine.,0,bakeoff,neutral
2667,The above ratings say it all!,0,bakeoff,neutral
2668,"Only disappointment was the ""Little Big Macs"".",0,bakeoff,negative
2669,We had an awesome time.,0,bakeoff,positive
2670,A little expensive for regular visits.,0,bakeoff,negative
2671,Our filets were VERY salty.,0,bakeoff,neutral
2672,I ordered the three course restaurant week special.,0,bakeoff,neutral
2673,The feeling did not go away on entry...,0,bakeoff,neutral
2674,Our party of four tried different entrees and desserts.,0,bakeoff,neutral
2675,"And, it pains me to say so because I live in the neighborhood and I loved the food.",0,bakeoff,positive
2676,We were shown a meat tray with the different sizes and types of meat.,0,bakeoff,neutral
2677,I ahve never had that happen unless they had made a mistake.,0,bakeoff,negative
2678,Unbelievable food and service.,0,bakeoff,positive
2679,My boyfriend and I went their on a Tuesday night around 8 so it was very nice and quite.,0,bakeoff,positive
2680,The decor is beautiful and not what you would expect from a plce called a Chowder House!,0,bakeoff,positive
2681,"Th food, service and drinks were exceptional.",0,bakeoff,positive
2682,The service was exceptional.,0,bakeoff,positive
2683,"Second, we heard the wait staff discussing getting the table next to us ready for a party of 4 when we were having our dessert.",0,bakeoff,neutral
2684,"When we got there, my date received a free carnation and was entered in a draw for a makeup package.",0,bakeoff,neutral
2685,"Historically being ""The Palm"" devotees, we decided to try Morton's on Walnut Street in Philadelphia.",0,bakeoff,neutral
2686,"If driving, I would use the valet because there is limited parking.",0,bakeoff,negative
2687,My only critique is the lighting-- I wish the lighting was cozier and no flourescents.,0,bakeoff,negative
2688,The brunch menu sounded delectable.,0,bakeoff,positive
2689,"Three women who haven't had a chance to get together for awhile, we found a quiet corner by the window where we were able to indulge in great conversation, great food and a glass of superb wine.",0,bakeoff,positive
2690,Elements was full of taste surprises.,0,bakeoff,positive
2691,It paled in comparison.,0,bakeoff,negative
2692,"Steaks were excellent, but that was expected for the price.",0,bakeoff,positive
2693,We have been to several quality and high standards restaurant.,0,bakeoff,positive
2694,"I got caught in traffic on the way, called the restaurant and was assured that they would hold the reservation -- which they did.",0,bakeoff,positive
2695,Our most recent visit here was a few nights ago for my daughters high school graduation.,0,bakeoff,neutral
2696,My friends and i have a lovely time at Basil T's.,0,bakeoff,positive
2697,The fried goat cheese with red onion jam (HOW did you do that?,0,bakeoff,neutral
2698,I ended up feeling that I didn't have that many choices I was interested in.,0,bakeoff,negative
2699,I wanted to try someplace new that was suitable to take my parents for brunch.,0,bakeoff,neutral
2700,Waiter was the only negative and he tried hard.,0,bakeoff,neutral
2701,Second time there.,0,bakeoff,neutral
2702,The chef sent out three different appetizers for us.,0,bakeoff,neutral
2703,When we left our room was mostly full with a party of about 15 expected at nearby tables...I have a feeling that the room would become much less quiet when full as in the rest of the restaurant!,0,bakeoff,positive
2704,Three of us shared the sea food sampler and all of them where scruptious.,0,bakeoff,positive
2705,We ate in the dining room.,0,bakeoff,neutral
2706,We went a bit early and avoided the crowd on a Saturday night.,0,bakeoff,neutral
2707,"We sat at a table so small it was only suitable for cocktails, on an elderly floor that literally rocked the table everytime a server would walk by us.",0,bakeoff,negative
2708,Staff works as a well-coordinated team.Food was tasty and attractively presented.,0,bakeoff,positive
2709,It was a relaxed evening with our three course meal (plus bread and hummus appetizer) lasting about 2 and a half hours.,0,bakeoff,positive
2710,It was our first time there and didn't know what to expect.,0,bakeoff,neutral
2711,A cheerful hostess escorted us to our table.,0,bakeoff,positive
2712,We were 25 minutes late for what was already a late reservation.,0,bakeoff,negative
2713,I had skewers of lamb and shrimp.,0,bakeoff,neutral
2714,Fresh sea food dishes are assume.,0,bakeoff,neutral
2715,Surpised that coleslaw was not served with it.,0,bakeoff,negative
2716,Now I need a diet!,0,bakeoff,positive
2717,Very pricey (for two of us with a few cocktails was $225+tip) so we will save it for special occasions.,0,bakeoff,neutral
2718,We were only there for 90 minutes.,0,bakeoff,neutral
2719,I made our reservation on line and made a notation that we had one in our party that would be in a wheel chair.,0,bakeoff,neutral
2720,Sushi and side dishes were terrific.,0,bakeoff,positive
2721,Valet parkers gave no tickets even though they were busy and knew our name by the time we left.,0,bakeoff,positive
2722,"We took a taxi back, which the restaurant called for us.",0,bakeoff,neutral
2723,"It was tough and had a sinewy texture, not silky like I'm used to at a good steakhouse.",0,bakeoff,positive
2724,Salmon entree and service was excellent.,0,bakeoff,positive
2725,My husband and I live in Newtown and decided to try this restaurant for a change.,0,bakeoff,neutral
2726,My boyfriend ordered a 20oz rib eye steak which doesn't come with any side orders just the steak itself and a sauce.,0,bakeoff,positive
2727,We made reservations this last weekend to celebrate our 12th wedding anniversary/valentines day.,0,bakeoff,neutral
2728,Those are my only complaints.,0,bakeoff,neutral
2729,Food and service both amazing.,0,bakeoff,positive
2730,A long way.,0,bakeoff,neutral
2731,"I had the lamb cheek, which was a first for me, and it tasted like a braised short rib...could have been a bit more ""exotic"" with it's seasoning.",0,bakeoff,neutral
2732,"After checking with the chef they were willing to give it to us, phew!",0,bakeoff,neutral
2733,One of the surprises was the naming of the boats on which the product was caught.,0,bakeoff,neutral
2734,"I got a bone in New York steak, and my wife got a Wagyu New York ( 4 oz.",0,bakeoff,neutral
2735,The meal is certainly expensive; It's hard to not drop $150 at dinner.,0,bakeoff,positive
