,word1,word2,prediction
78,architecture,urban,-9.107658386230469
79,area,space,-5.993621349334717
80,argument,evidence,-9.723851203918457
81,arm,bicycle,-11.725140571594238
82,arm,television,-11.936954498291016
83,arrange,discard,-11.047755241394043
84,arrange,study,-12.010381698608398
85,arrangement,blizzard,-11.805142402648926
86,arrangement,room,-11.360396385192871
87,art,craft,-10.397597312927246
88,art,gem,-10.253814697265625
89,art,museum,-8.16239070892334
90,art,painting,-8.761582374572754
91,article,cup,-12.498205184936523
92,article,girl,-11.614407539367676
93,ash,bone,-11.877386093139648
94,ash,coil,-11.866067886352539
95,asphalt,crane,-12.541757583618164
96,asphalt,water,-11.372702598571777
97,assets,exclude,-13.481234550476074
98,association,organization,-9.639103889465332
99,association,realtor,-11.764237403869629
100,asylum,dollar,-11.488069534301758
101,asylum,shelter,-12.583791732788086
102,athletics,racing,-12.401956558227539
103,athletics,swimming,-12.199790000915527
104,attempt,give,-7.98723840713501
105,attempt,initiate,-8.460125923156738
106,attitude,notice,-8.60906982421875
107,attitude,study,-11.979815483093262
108,attorney,lawyer,-4.297728061676025
109,auto,bright,-11.885437965393066
110,automobile,fabric,-12.88264274597168
111,automobile,racing,-12.938271522521973
112,autumn,foliage,-9.416543006896973
113,autumn,hat,-11.465639114379883
114,autumn,sunshine,-8.782118797302246
115,autumn,winter,-7.9496307373046875
116,award,citation,-13.902541160583496
117,baby,treat,-9.13496208190918
118,back,lumbar,-10.586512565612793
119,back,shifting,-10.589032173156738
120,bacon,bread,-5.097728729248047
121,bacon,pepper,-7.086296558380127
122,bacon,salad,-6.709565162658691
123,bacon,tomato,-6.031369686126709
124,bacon,wild,-9.027161598205566
125,bag,cop,-11.341193199157715
126,bag,flag,-9.354891777038574
127,bakery,cake,-7.584695816040039
128,bakery,vehicle,-11.556351661682129
129,balance,gauge,-10.943561553955078
130,banana,salad,-9.021995544433594
131,band,guitar,-7.095019817352295
132,band,metal,-10.57578182220459
133,band,play,-9.246012687683105
134,band,uniform,-11.80576229095459
135,band,vinyl,-10.861947059631348
136,bank,smell,-12.29952335357666
137,bankruptcy,enterprise,-11.340179443359375
138,bar,diner,-7.822972774505615
139,bar,ship,-11.263588905334473
140,bar,stair,-10.655891418457031
141,bar,sushi,-8.635001182556152
142,barn,food,-10.683024406433105
143,barrel,gallon,-10.6401948928833
144,base,club,-10.774752616882324
145,baseball,born,-12.26418685913086
146,baseball,cactus,-11.13115119934082
147,baseball,game,-7.886570453643799
148,baseball,hockey,-6.900571823120117
149,baseball,season,-9.304994583129883
150,basket,dinner,-7.403968334197998
151,basketball,lesson,-11.736165046691895
152,basketball,squash,-12.617264747619629
153,bat,bats,-9.334297180175781
154,bath,bedroom,-7.757702827453613
155,bath,floor,-9.227686882019043
156,bath,hot,-9.709859848022461
157,bath,sleep,-9.759963035583496
158,bathroom,chamber,-13.041234970092773
159,bay,curve,-10.687328338623047
160,bay,harbour,-9.200884819030762
161,beach,cliff,-11.264788627624512
162,beach,pebble,-11.252935409545898
163,bead,chess,-11.781492233276367
164,bead,gold,-10.473100662231445
165,bead,redhead,-12.190434455871582
166,beam,column,-9.968697547912598
167,beard,hair,-9.129947662353516
168,beat,meter,-9.911733627319336
169,bed,candy,-11.850515365600586
170,bed,floor,-8.345230102539062
171,bed,furniture,-8.878202438354492
172,bed,layer,-11.166701316833496
173,bed,pillow,-6.499989032745361
174,bed,relax,-10.483675956726074
175,bed,sitting,-9.325011253356934
176,bed,staircase,-12.10899829864502
177,bedroom,canyon,-12.869194984436035
178,bedroom,ceiling,-9.570672988891602
179,bedroom,cell,-11.737005233764648
180,bedroom,construction,-10.116842269897461
181,bedroom,door,-9.384066581726074
182,bedroom,downtown,-11.578904151916504
183,bedroom,room,-6.508699417114258
184,bedroom,stair,-11.337929725646973
185,bedroom,staircase,-11.684368133544922
186,beef,chicken,-3.675100088119507
187,beef,lamb,-5.836589813232422
188,beef,pepper,-5.4274067878723145
189,beef,potato,-5.3284735679626465
190,beer,patio,-8.988607406616211
191,beer,wild,-10.03390884399414
192,being,characters,-9.896939277648926
193,believe,week,-7.27062463760376
194,belly,black,-8.033565521240234
195,belly,dance,-11.106324195861816
196,belly,dark,-10.575338363647461
197,belly,field,-12.136876106262207
198,belly,stripe,-10.639369010925293
199,bench,game,-11.45976734161377
200,benefited,get,-9.133338928222656
201,bent,double,-10.632973670959473
202,bent,inclination,-10.266046524047852
203,berlin,germany,-9.679652214050293
204,berry,blossom,-8.212109565734863
205,berry,bright,-10.738251686096191
206,berry,dessert,-6.685422897338867
207,berry,ivy,-10.52319622039795
208,berry,raspberry,-4.100889205932617
209,berry,seed,-7.598172187805176
210,berry,sweet,-5.541163921356201
211,bias,prejudice,-9.422630310058594
212,bible,misty,-12.737850189208984
213,bicycle,green,-12.077754020690918
214,bigger,large,-5.414030075073242
215,bike,chopper,-11.421626091003418
216,bikini,ivy,-10.362141609191895
217,bin,cup,-9.656960487365723
218,bird,cock,-10.391107559204102
219,bird,dragonfly,-10.99063777923584
220,bird,flamingo,-10.858717918395996
221,bird,goose,-10.414426803588867
222,bird,insect,-10.004341125488281
223,bird,reptile,-9.386287689208984
224,bird,shade,-10.417497634887695
225,bird,solid,-9.976576805114746
226,bishop,priest,-12.1532564163208
227,bishop,radical,-13.202784538269043
228,bishop,wine,-12.229347229003906
229,bit,curb,-9.078261375427246
230,bit,tool,-10.809674263000488
231,bitter,taste,-5.358902931213379
232,black,blue,-5.905797481536865
233,black,bright,-8.804426193237305
234,black,brown,-5.693930149078369
235,black,cigarette,-10.994446754455566
236,black,juvenile,-12.356705665588379
237,black,skirt,-8.108209609985352
238,black,white,-3.821658134460449
239,blast,smashing,-10.030902862548828
240,blaze,pig,-10.608601570129395
241,blessing,patronage,-10.505270004272461
242,blizzard,rash,-11.765962600708008
243,block,hinder,-10.215492248535156
244,blonde,haircut,-8.441450119018555
245,blonde,wig,-8.981317520141602
246,bloom,flower,-8.567482948303223
247,bloom,friend,-10.836662292480469
248,bloom,plant,-9.346067428588867
249,bloom,purple,-11.23450756072998
250,blossom,bud,-10.119131088256836
251,blossom,cherry,-7.309086799621582
252,blossom,daisy,-11.110628128051758
253,blossom,foliage,-10.568212509155273
254,blossom,orange,-7.32734489440918
255,blossom,petal,-8.297541618347168
256,blossom,purple,-8.956985473632812
257,blow,contact,-10.794841766357422
258,blow,swat,-11.121220588684082
259,blowing,smoking,-8.736814498901367
260,blue,colour,-9.288064956665039
261,blue,happy,-8.582316398620605
262,blue,report,-11.920629501342773
263,blue,shade,-10.469670295715332
264,blue,skirt,-8.640168190002441
265,blues,rhythm,-8.484601974487305
266,blur,focus,-10.238309860229492
267,blur,metro,-11.05526351928711
268,board,deal,-8.881424903869629
269,boardwalk,park,-8.908181190490723
270,boast,complain,-8.905976295471191
271,boat,negro,-12.916569709777832
272,boat,shore,-8.459182739257812
273,bold,forward,-9.987238883972168
274,bold,leader,-11.886460304260254
275,bone,skull,-11.857860565185547
276,book,building,-10.232142448425293
277,book,smoking,-9.697213172912598
278,booklet,reference,-9.89953899383545
279,boot,kick,-9.694655418395996
280,boot,punch,-9.682162284851074
281,bootleg,produce,-12.596857070922852
282,bootleg,whiskey,-12.603730201721191
283,born,construction,-11.777565956115723
284,born,mother,-8.556743621826172
285,born,subway,-11.457942008972168
286,bottle,wine,-5.452987194061279
287,bound,line,-9.7516450881958
288,bound,skirt,-10.986462593078613
289,bowling,wheel,-11.620187759399414
290,boxer,stair,-12.828299522399902
291,boxing,hit,-10.549458503723145
292,boy,hand,-7.534396171569824
293,boy,live,-8.020301818847656
294,bracelet,jewelry,-8.10222053527832
295,bracelet,mountain,-13.00539779663086
296,brain,head,-8.980015754699707
297,brake,click,-11.76496696472168
298,branch,tea,-11.512726783752441
299,brass,executive,-12.310203552246094
300,brazil,nut,-9.48056697845459
301,brazil,triple,-9.075916290283203
302,bread,bun,-5.624490737915039
303,bread,cooking,-8.891434669494629
304,bread,cover,-10.478779792785645
305,bread,dessert,-6.975854873657227
306,bread,egg,-5.889397144317627
307,bread,medicine,-12.209074020385742
308,break,glittering,-12.044753074645996
309,break,scattered,-8.814112663269043
310,breakfast,diner,-6.242893218994141
311,breakfast,evening,-8.201909065246582
312,breakfast,lunch,-5.253420352935791
313,breakfast,makeup,-10.516030311584473
314,breakfast,morning,-6.861124038696289
315,breakfast,people,-8.4205961227417
316,breakfast,relax,-9.205294609069824
317,brick,cement,-9.884510040283203
318,brick,construction,-10.115066528320312
319,brick,skyscraper,-10.522268295288086
320,bride,photographer,-7.9643096923828125
321,bright,dark,-5.909369468688965
322,bright,fruit,-10.047567367553711
323,bright,mist,-10.09789752960205
324,bright,raspberry,-11.236172676086426
325,bright,shade,-9.112411499023438
326,bright,sky,-10.139700889587402
327,bring,presenting,-10.06694221496582
328,bring,return,-5.973505020141602
329,broadcast,packet,-12.377067565917969
330,bronze,sculpture,-9.912609100341797
331,bronze,suspicion,-12.055076599121094
332,brown,green,-6.138653755187988
333,brown,hawk,-10.876384735107422
334,brown,purple,-7.224396705627441
335,brown,white,-5.909322738647461
336,brussels,sweden,-12.90035343170166
337,bucket,water,-6.994425296783447
338,bud,flower,-10.905166625976562
339,bud,ivy,-10.22700023651123
340,budget,fund,-11.410425186157227
341,budget,scale,-9.480953216552734
342,bug,insect,-5.9472174644470215
343,building,cafe,-8.941312789916992
344,building,construction,-6.938632488250732
345,building,downtown,-8.534181594848633
346,building,floor,-8.428485870361328
347,building,ministry,-13.518177032470703
348,building,tall,-9.463606834411621
349,building,zombie,-11.759834289550781
350,burger,cooking,-9.593094825744629
351,burger,dessert,-9.571462631225586
352,burger,salad,-7.303710460662842
353,burger,soup,-9.160252571105957
354,burn,fire,-8.585346221923828
355,burn,ripple,-11.497645378112793
356,bus,rail,-8.01706314086914
357,business,railway,-12.620506286621094
358,butter,stick,-7.764969348907471
359,butterfly,caterpillar,-11.20082950592041
360,butterfly,dragonfly,-11.31257152557373
361,butterfly,glittering,-13.233152389526367
362,button,sticker,-10.60091495513916
363,cafe,child,-11.481013298034668
364,cafe,coffee,-6.559603691101074
365,cafe,dinner,-8.460657119750977
366,cafe,donut,-9.439346313476562
367,cafe,lunch,-7.0124382972717285
368,cafe,pub,-8.8074369430542
369,cafe,reflection,-9.79330825805664
370,cafe,relax,-8.617754936218262
371,cafe,shop,-7.75276517868042
372,cafe,spiral,-10.928644180297852
373,cake,christmas,-10.344658851623535
374,call,meeting,-9.153979301452637
375,call,statement,-9.18336296081543
376,call,telephone,-6.5642900466918945
377,camel,desert,-10.764491081237793
378,camp,camp,-0.0
379,campaign,conspiracy,-14.780732154846191
380,can,sketch,-9.784778594970703
381,candidate,republic,-12.16260814666748
382,canine,dog,-7.009237766265869
383,canyon,landscape,-10.68401050567627
384,canyon,river,-8.657224655151367
385,car,insurance,-9.7962007522583
386,car,pig,-11.881829261779785
387,car,skull,-13.045886993408203
388,card,playing,-11.705985069274902
389,card,see,-9.995369911193848
390,carrier,carrier,-0.0
391,carrier,traveler,-11.220507621765137
392,carrier,vehicle,-11.080777168273926
393,carrot,memorial,-12.30731201171875
394,carrot,salad,-6.142077922821045
395,cart,wagon,-9.553319931030273
396,cartoon,wit,-12.20771598815918
397,case,clients,-9.145989418029785
398,cast,cast,-0.0
399,cast,shoot,-11.113967895507812
400,castle,patio,-10.720932006835938
401,castle,ruin,-9.993834495544434
402,cat,garden,-12.117021560668945
403,catch,catching,-4.95398473739624
404,catch,hooks,-10.331666946411133
405,catching,perceive,-11.112544059753418
406,catching,playing,-9.043807029724121
407,category,flavor,-10.355813980102539
408,catering,loan,-11.568354606628418
409,caterpillar,paint,-12.926084518432617
410,cathedral,step,-11.931066513061523
411,cattle,goat,-11.557794570922852
412,cattle,web,-12.045079231262207
413,cautious,film,-12.201996803283691
414,ceiling,marble,-7.878438949584961
415,ceiling,mug,-11.867767333984375
416,ceiling,room,-9.836933135986328
417,ceiling,staircase,-9.273634910583496
418,ceiling,wall,-5.787642955780029
419,cell,membrane,-11.54226303100586
420,cemetery,grave,-10.522945404052734
421,cemetery,memorial,-8.490864753723145
422,center,center,-0.0
423,center,refer,-10.238304138183594
424,century,period,-9.286002159118652
425,century,temperature,-11.63143539428711
426,ceramic,floor,-11.0191068649292
427,chance,fortune,-8.44437026977539
428,chance,opportunity,-6.639284610748291
429,chance,ring,-9.739579200744629
430,change,laundering,-9.335267066955566
431,change,transforming,-11.468293190002441
432,change,yielding,-12.735867500305176
433,channel,sound,-9.92948055267334
434,chaos,death,-10.411151885986328
435,chapel,porch,-11.408105850219727
436,chapel,ruin,-11.124408721923828
437,charcoal,fuel,-11.311541557312012
438,charge,damage,-9.804232597351074
439,charge,sentence,-9.73008918762207
440,checked,checked,-0.0
441,cheer,musician,-11.320866584777832
442,cheese,food,-8.870061874389648
443,cheetah,flame,-12.176047325134277
444,chemical,intermediate,-13.261688232421875
445,chemistry,patient,-11.695755004882812
446,cherry,fruit,-6.1258320808410645
447,cherry,grape,-6.468087673187256
448,cherry,lamb,-9.602641105651855
449,cherry,meat,-9.520112037658691
450,cherry,orange,-5.627676963806152
451,cherry,raspberry,-5.210855007171631
452,chess,family,-10.141633987426758
453,chess,toy,-11.080008506774902
454,chicken,lamb,-6.167579174041748
455,chicken,poultry,-9.27904987335205
456,chief,guru,-9.944859504699707
457,child,lad,-11.958646774291992
458,child,street,-11.598508834838867
459,chile,plate,-7.112900257110596
460,chocolate,rock,-11.718289375305176
461,choice,option,-3.7863245010375977
462,chopper,poppy,-11.25822925567627
463,chord,play,-12.448802947998047
464,christmas,valentine,-7.9369707107543945
465,church,porch,-11.186502456665039
466,church,temple,-10.383247375488281
467,circle,oval,-9.590008735656738
468,circle,sport,-11.389485359191895
469,city,round,-9.342607498168945
470,city,ruin,-9.901754379272461
471,city,sidewalk,-9.585886001586914
472,city,square,-7.49153470993042
473,city,urban,-7.687719345092773
474,class,sex,-12.01132869720459
475,cliff,coast,-11.428084373474121
476,cliff,harbour,-11.424522399902344
477,cliff,waterfall,-10.688222885131836
478,clinic,session,-10.522343635559082
479,clock,timer,-7.670938968658447
480,close,short,-6.071895122528076
481,closed,closed,-0.0
482,closed,state,-10.073442459106445
483,closed,up,-6.782438278198242
484,closing,closing,-0.0
485,closing,finale,-10.844921112060547
486,clothes,short,-9.325912475585938
487,cloud,energy,-10.648469924926758
488,club,hockey,-10.962203979492188
489,club,shirt,-11.587369918823242
490,clubhouse,pop,-10.386344909667969
491,clue,parish,-13.11140251159668
492,coast,scenery,-11.203241348266602
493,coast,sunk,-11.17414379119873
494,coast,zebra,-12.117831230163574
495,coat,resurfacing,-12.310857772827148
496,coat,roof,-10.912036895751953
497,cock,penis,-9.087325096130371
498,cocktail,garage,-11.507735252380371
499,cocktail,restaurant,-8.861825942993164
500,coffee,meeting,-9.572741508483887
501,coffee,tea,-5.929462432861328
502,coin,gold,-11.433708190917969
503,coin,silver,-11.71225643157959
504,coin,ticket,-11.627511978149414
505,cold,mist,-9.048714637756348
506,cold,rain,-9.7030668258667
507,cold,silver,-10.643704414367676
508,cold,sunny,-8.119097709655762
509,cold,sunshine,-9.31318187713623
510,cold,water,-7.3865790367126465
511,cold,weather,-7.937956809997559
512,cold,winter,-8.132763862609863
513,coldness,cool,-9.434972763061523
514,collage,exhibition,-13.585151672363281
515,collage,paint,-12.381975173950195
516,collage,sculpture,-11.505241394042969
517,collage,stream,-11.447813987731934
518,collapse,shock,-10.986223220825195
519,collar,tiger,-10.203774452209473
520,collect,collect,-0.0
521,collect,scrape,-10.57421875
522,collection,library,-9.621824264526367
523,collection,packet,-11.620970726013184
524,color,quality,-11.090493202209473
525,color,wash,-11.042054176330566
526,colorful,outfit,-10.997085571289062
527,colorful,shot,-10.693787574768066
528,colorful,toy,-11.241354942321777
529,colorful,wood,-8.842506408691406
530,colors,emblem,-12.669739723205566
531,colour,grey,-7.914588451385498
532,colour,shade,-10.105225563049316
533,comfort,relief,-9.892030715942383
534,comment,mention,-5.8312835693359375
535,commercial,manufacture,-10.610559463500977
536,commitment,guarantee,-9.521221160888672
537,communication,theater,-12.077031135559082
538,compact,short,-9.33758544921875
539,company,distributor,-9.786031723022461
540,compartment,stalls,-11.69997501373291
541,compatible,software,-8.748906135559082
542,competes,race,-11.79016399383545
543,compound,enhance,-11.10319709777832
544,compound,whole,-9.685505867004395
545,computer,lab,-9.860733985900879
546,computer,number,-7.800818920135498
547,computer,platform,-11.651252746582031
548,computer,railway,-14.166685104370117
549,concentration,focus,-10.036942481994629
550,concert,jazz,-8.595226287841797
551,concert,sing,-9.39078140258789
552,concerts,settle,-11.552111625671387
553,conclusion,judgment,-8.684930801391602
554,conclusion,situation,-8.882209777832031
555,concoct,request,-9.85974407196045
556,concrete,interior,-10.617656707763672
557,concrete,pin,-11.407878875732422
558,cone,palm,-11.446836471557617
559,congress,sex,-12.941778182983398
560,connection,keyboard,-10.251818656921387
561,consequences,position,-10.47411060333252
562,consistency,phase,-11.218311309814453
563,construction,downtown,-9.707399368286133
564,construction,interior,-10.370445251464844
565,contact,print,-10.762955665588379
566,control,driving,-10.137482643127441
567,cooking,dessert,-9.953680038452148
568,cooking,eat,-7.328501224517822
569,cooking,food,-6.998520374298096
570,cooking,frozen,-8.036364555358887
571,cooking,salad,-9.51551342010498
572,cool,cool,-0.0
573,cool,jazz,-8.604108810424805
574,cool,state,-11.193902015686035
575,cop,dirty,-12.288386344909668
576,cop,music,-12.52469539642334
577,cop,ruin,-10.622260093688965
578,cord,eclipse,-12.270180702209473
579,corn,pepper,-4.596418380737305
580,cost,price,-5.5652642250061035
581,costume,halloween,-7.557408809661865
582,costume,radiation,-14.202816009521484
583,cottage,patio,-9.35648250579834
584,council,minister,-13.936830520629883
585,count,investigation,-11.105721473693848
586,count,number,-7.4516119956970215
587,counter,furniture,-10.036898612976074
588,counter,negative,-9.332515716552734
589,couple,family,-6.4301347732543945
590,couple,makeup,-9.14315414428711
591,couple,race,-10.229851722717285
592,cousin,relation,-9.340100288391113
593,cover,feather,-10.883745193481445
594,cover,sleeve,-10.061264038085938
595,covering,skin,-10.185054779052734
596,cowboys,ranch,-11.180622100830078
597,crack,cracking,-7.240250587463379
598,cracking,noise,-10.835794448852539
599,cracking,sound,-10.560952186584473
600,craft,game,-10.609922409057617
601,crane,stair,-10.980508804321289
602,crash,swing,-10.088929176330566
603,creation,stitch,-12.815068244934082
604,credit,flap,-12.24629020690918
605,credit,foundation,-12.101834297180176
606,crew,unit,-9.9171781539917
607,critic,reviewers,-7.146315574645996
608,crochet,family,-11.680190086364746
609,crochet,jewelry,-11.65948486328125
610,crochet,knitting,-6.29140043258667
611,cross,mug,-10.925443649291992
612,cross,post,-10.348527908325195
613,cross,pub,-10.374403953552246
614,cross,shopping,-9.767439842224121
615,crush,push,-9.855257034301758
616,crush,split,-9.748767852783203
617,crystal,spiral,-10.317440032958984
618,cube,dice,-10.392836570739746
619,cup,handbag,-11.41701889038086
620,curb,smother,-10.996560096740723
621,curb,train,-10.650198936462402
622,current,flow,-10.251437187194824
623,cut,gore,-12.56573486328125
624,cute,fashion,-8.804888725280762
625,cute,friend,-8.056410789489746
626,cute,fun,-7.808226108551025
627,cute,haircut,-10.505958557128906
628,cylinder,pen,-11.751404762268066
629,daisy,foliage,-12.273482322692871
630,daisy,grass,-12.076194763183594
631,daisy,petal,-10.9010009765625
632,dance,hotel,-11.972868919372559
633,dandelion,foliage,-11.205353736877441
634,dandelion,grass,-10.806997299194336
635,dandelion,petal,-9.491907119750977
636,danger,status,-11.832867622375488
637,dark,flamingo,-10.961800575256348
638,dark,pod,-10.45447826385498
639,dark,white,-7.261720180511475
640,dashboard,protection,-11.237149238586426
641,daughter,graphic,-12.346622467041016
642,daughter,pub,-10.893386840820312
643,dawn,day,-8.304603576660156
644,day,glide,-11.06507682800293
645,day,horse,-10.541048049926758
646,day,independence,-9.821966171264648
647,day,night,-5.994486331939697
648,day,sunny,-8.257046699523926
649,day,sunset,-9.355914115905762
650,day,weather,-7.8908891677856445
651,dead,sidewalk,-9.357401847839355
652,deaf,people,-9.525819778442383
653,death,funeral,-9.778799057006836
654,decision,option,-7.841374397277832
655,decoration,tulip,-9.919299125671387
656,defeat,ending,-10.957002639770508
657,defeated,people,-10.432211875915527
658,degree,quantity,-11.16854476928711
659,demand,supply,-9.16765308380127
660,demolition,interior,-12.161293983459473
661,demolition,skyscraper,-12.247648239135742
662,demolition,tall,-12.465546607971191
663,desert,mountain,-7.254941463470459
664,deserve,merit,-8.736739158630371
665,deserve,want,-6.969742774963379
666,design,graphic,-10.066801071166992
667,design,orange,-11.025278091430664
668,designation,recognition,-11.179170608520508
669,designs,intend,-10.688097953796387
670,dessert,head,-10.070428848266602
671,dessert,salad,-7.932898044586182
672,determination,selection,-12.209874153137207
673,development,twist,-12.909128189086914
674,diamond,parade,-12.196227073669434
675,diamond,short,-9.475865364074707
676,diamond,stencil,-11.736900329589844
677,difficulty,problem,-9.404781341552734
678,digit,toe,-11.919530868530273
679,dilute,market,-10.88178825378418
680,dinner,sitting,-7.854509353637695
681,dinner,sleep,-10.366447448730469
682,direction,direction,-0.0
683,direction,traveling,-9.69910717010498
684,dirt,racing,-11.62759017944336
685,dirt,road,-10.04414176940918
686,dirt,sand,-8.491694450378418
687,dirty,dude,-9.958352088928223
688,dirty,rabbit,-11.294380187988281
689,dirty,washing,-7.008631229400635
690,discharge,spread,-11.890449523925781
691,discipline,discipline,-0.0
692,disk,dot,-10.727578163146973
693,display,stick,-9.486989974975586
694,dissipate,isolate,-12.406631469726562
695,distinction,sword,-13.22761058807373
696,distinguish,medal,-12.083648681640625
697,distinguish,sex,-11.580395698547363
698,disturbance,upset,-10.051572799682617
699,diversion,skiing,-13.477951049804688
700,dock,herb,-11.644103050231934
701,dog,husky,-6.480891704559326
702,dog,secretary,-11.954195976257324
703,doll,new,-9.94087028503418
704,dome,interior,-10.870918273925781
705,dome,uniform,-11.999824523925781
706,donut,panda,-9.366814613342285
707,door,interior,-9.735347747802734
708,door,porch,-8.900157928466797
709,door,room,-8.542571067810059
710,downtown,field,-10.293587684631348
711,downtown,hockey,-10.899195671081543
712,downtown,ruin,-9.95086669921875
713,downtown,shopping,-7.987125873565674
714,downtown,subway,-8.200396537780762
715,drag,drawing,-11.610897064208984
716,dragon,drop,-10.469161987304688
717,dragonfly,frog,-11.321183204650879
718,dragonfly,insect,-11.493819236755371
719,draw,draw,-0.0
720,draw,entertainer,-11.820377349853516
721,dress,match,-9.430063247680664
722,dress,neckline,-8.610045433044434
723,dress,outfit,-7.800366401672363
724,dressing,patch,-11.13074016571045
725,drill,implement,-12.23813247680664
726,drink,turn,-8.836551666259766
727,dripping,hot,-7.297809600830078
728,dripping,round,-9.2468843460083
729,dripping,wet,-5.809825897216797
730,drive,drive,-0.0
731,drive,operate,-10.338011741638184
732,drop,drop,-0.0
733,drop,measure,-8.970955848693848
734,drop,sink,-10.572749137878418
735,dropping,dropping,-0.0
736,drought,time,-10.691411972045898
737,drug,reflection,-12.04499626159668
738,drug,sing,-12.510795593261719
739,drug,wolf,-12.378334999084473
740,dude,fun,-9.78233528137207
741,dude,hanging,-9.523542404174805
742,dude,sitting,-8.536287307739258
743,dude,smile,-8.971613883972168
744,dusk,hummingbird,-11.624738693237305
745,dusk,misty,-11.7635498046875
746,dye,kiss,-11.984294891357422
747,eagle,feather,-12.331637382507324
748,ear,organ,-11.973138809204102
749,earn,make,-8.50313663482666
750,ease,relaxation,-10.646612167358398
751,ease,rest,-8.708083152770996
752,east,israel,-11.168270111083984
753,easter,preference,-9.997198104858398
754,eat,rabbit,-9.413740158081055
755,eat,soup,-7.13971471786499
756,eat,truck,-9.173758506774902
757,educated,learned,-8.005293846130371
758,effects,effects,-0.0
759,egg,lego,-12.687597274780273
760,egg,nest,-10.534177780151367
761,egg,white,-7.4848504066467285
762,eight,movement,-11.55803394317627
763,element,mixture,-8.23660659790039
764,element,situation,-10.980181694030762
765,elephant,giraffe,-9.484048843383789
766,emission,gum,-12.03339958190918
767,endeavor,worst,-11.733100891113281
768,enemy,strike,-9.713345527648926
769,enforcing,execute,-11.593439102172852
770,engine,gasoline,-10.576813697814941
771,engineering,technology,-9.83189868927002
772,english,french,-8.264447212219238
773,enhanced,increased,-11.315094947814941
774,enjoy,suffering,-11.267316818237305
775,enterprise,industry,-9.820910453796387
776,entrance,registration,-10.68962574005127
777,equipment,seat,-11.705609321594238
778,escalator,railway,-12.644355773925781
779,escalator,redhead,-12.711965560913086
780,establishment,establishment,-0.0
781,evaluate,forecast,-11.845009803771973
782,evening,fun,-7.89962100982666
783,evening,night,-4.049291133880615
784,evening,time,-6.067718029022217
785,event,influence,-11.160893440246582
786,evidence,format,-11.230889320373535
787,evidence,record,-8.411808967590332
788,evil,worst,-10.1875
789,evolution,publicity,-12.433686256408691
790,examination,quiz,-12.615461349487305
791,executive,organization,-10.191330909729004
792,exhibit,parade,-12.52448844909668
793,exhibition,painting,-12.605547904968262
